date,close,volume,sharesOutstanding,freeCashFlow,totalDebt,cashAndCashEquivalents,symbol
2022-12-07,16.105684280395508,372388000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-08,17.153751373291016,515456000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-09,16.98590087890625,465338000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-12,17.519428253173828,457328000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-13,18.05595016479492,656589000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-14,17.658306121826172,496888000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-15,16.93694496154785,478542000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-16,16.556283950805664,478232000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-19,16.239564895629883,354039000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-20,16.070716857910156,403260000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-21,16.486345291137695,325025000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-22,15.325376510620115,565045000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-23,15.192495346069336,349326000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-27,14.108460426330566,464902000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-28,14.02353286743164,351066000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-29,14.590027809143066,354923000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-30,14.60102081298828,310490000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-03,14.302286148071287,401277000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-04,14.73590087890625,431324000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-05,14.252331733703612,389168000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2023-01-06,14.84580421447754,405044000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
